episode_record_idx,global_step,rooms_visited,episodic_return,episodic_length,gap_steps_since_prev_multiroom,gap_episodes_since_prev_multiroom
34561,19187840,4,400,803,12640,13
34565,19190720,2,400,768,2880,4
34566,19190752,4,400,1698,32,1
34569,19191552,4,400,674,800,3
34571,19195264,4,400,2162,3712,2
34572,19195488,4,400,772,224,1
34577,19204224,4,400,588,8736,5
34582,19207392,2,400,613,3168,5
34584,19208704,2,400,626,1312,2
34587,19210848,4,400,627,2144,3
34589,19211520,4,400,686,672,2
34590,19212128,2,400,628,608,1
34598,19221600,4,400,1127,9472,8
34599,19223936,4,400,389,2336,1
34601,19225184,2,400,1076,1248,2
34607,19226720,4,400,800,1536,6
34613,19230624,4,400,577,3904,6
34614,19232128,4,400,605,1504,1
34616,19238528,4,400,1071,6400,2
34617,19239616,2,400,823,1088,1
34622,19243904,4,400,827,4288,5
34623,19244352,2,400,710,448,1
34632,19252320,4,400,703,7968,9
34640,19260672,2,400,543,8352,8
34641,19260928,4,400,584,256,1
34644,19264224,2,400,571,3296,3
34645,19266752,4,400,1639,2528,1
34648,19269248,4,400,777,2496,3
34649,19269600,4,400,660,352,1
34651,19271456,4,400,482,1856,2
34654,19273728,4,400,652,2272,3
34657,19277856,4,400,919,4128,3
34658,19278368,4,400,741,512,1
34659,19279328,4,400,471,960,1
34660,19279808,4,400,597,480,1
34662,19282368,4,400,999,2560,2
34663,19282528,4,400,943,160,1
34667,19287264,2,400,640,4736,4
34668,19288384,4,400,586,1120,1
34669,19289472,2,400,680,1088,1
34673,19294464,2,400,715,4992,4
34674,19295104,4,400,2184,640,1
34677,19295968,4,400,834,864,3
34681,19298240,2,400,919,2272,4
34685,19300608,4,400,1188,2368,4
34687,19303744,2,400,2037,3136,2
34688,19304576,2,400,688,832,1
34689,19305728,4,400,639,1152,1
34690,19305792,2,400,826,64,1
34700,19316608,2,400,1069,10816,10
34704,19321120,2,400,516,4512,4
34707,19321536,2,400,1001,416,3
34708,19321760,4,400,805,224,1
34710,19323392,4,400,903,1632,2
34717,19332736,4,400,841,9344,7
34718,19332832,4,400,660,96,1
34726,19339072,4,400,836,6240,8
34728,19341504,4,400,636,2432,2
34729,19342848,4,400,676,1344,1
34732,19345568,4,400,576,2720,3
34733,19345760,4,400,813,192,1
34737,19347904,2,400,720,2144,4
34738,19348128,4,400,787,224,1
34745,19355584,2,400,515,7456,7
34751,19360288,4,400,519,4704,6
34758,19367520,2,400,627,7232,7
34761,19369984,2,400,756,2464,3
34763,19371872,2,400,686,1888,2
34765,19373440,4,400,562,1568,2
34766,19374240,4,400,815,800,1
34769,19377408,2,400,681,3168,3
34771,19379040,2,400,1130,1632,2
34779,19391040,2,400,1049,12000,8
34785,19393824,4,400,1685,2784,6
34795,19405472,4,400,443,11648,10
34797,19405792,2,400,1059,320,2
34799,19407424,4,400,641,1632,2
34804,19411648,2,400,575,4224,5
34805,19411808,4,400,648,160,1
34811,19419040,2,400,533,7232,6
34822,19433088,4,400,1009,14048,11
34823,19436576,2,400,520,3488,1
34825,19436864,4,400,625,288,2
34826,19438272,4,400,963,1408,1
34832,19443136,4,400,659,4864,6
34837,19449728,4,400,1087,6592,5
34839,19454272,4,0,1702,4544,2
34842,19456480,4,400,621,2208,3
34845,19458240,2,400,570,1760,3
34846,19459264,2,400,571,1024,1
34855,19473344,4,400,737,14080,9
34856,19473696,4,400,450,352,1
34860,19478016,4,400,741,4320,4
34861,19478560,4,400,689,544,1
34864,19481280,4,400,1666,2720,3
34866,19485280,4,400,772,4000,2
34869,19490944,2,400,1021,5664,3
34871,19492192,2,400,740,1248,2
